original_text;state_name
MAHARASHTRA;Maharashtra
KARNATAKA;Karnataka
PUDUCHERRY;Puducherry
TAMIL NADU;Tamil Nadu
UTTAR PRADESH;Uttar Pradesh
CHANDIGARH;Chandigarh
TELANGANA;Telangana
ANDHRA PRADESH;Andhra Pradesh
RAJASTHAN;Rajasthan
DELHI;Delhi
HARYANA;Haryana
ASSAM;Assam
JHARKHAND;Jharkhand
CHHATTISGARH;Chhattisgarh
ODISHA;Odisha
KERALA;Kerala
MADHYA PRADESH;Madhya Pradesh
WEST BENGAL;West Bengal
NAGALAND;Nagaland
Gujarat;Gujarat
UTTARAKHAND;Uttarakhand
BIHAR;Bihar
JAMMU & KASHMIR;Jammu and Kashmir
PUNJAB;Punjab
HIMACHAL PRADESH;Himachal Pradesh
ARUNACHAL PRADESH;Arunachal Pradesh
MANIPUR;Manipur
Goa;Goa
MEGHALAYA;Meghalaya
GOA;Goa
TRIPURA;Tripura
LADAKH;Ladakh
DADRA AND NAGAR;Dadra & Nagar Haveli and Daman & Diu
SIKKIM;Sikkim
Delhi;Delhi
ANDAMAN & NICOBAR ;Andaman and Nicobar Islands
Punjab;Punjab
Rajshthan;Rajasthan
Manipur;Manipur
rajasthan;Rajasthan
Odisha;Odisha
NL;Delhi
Bihar;Bihar
MIZORAM;Mizoram
punjab;Punjab
New Delhi;Delhi
Rajasthan;Rajasthan
Punjab/Mohali/Zirakpur;Punjab
Puducherry;Puducherry
delhi;Delhi
RJ;Rajasthan
Chandigarh;Chandigarh
orissa;Odisha
LAKSHADWEEP;Lakshadweep
goa;Goa
PB;Punjab
APO;Uttar Pradesh
Arunachal Pradesh;Arunachal Pradesh
AR;Arunachal Pradesh
Pondicherry;Puducherry
Sikkim;Sikkim
Arunachal pradesh;Arunachal Pradesh
Nagaland;Nagaland
bihar;Bihar
Mizoram;Mizoram
rajsthan;Rajasthan
Orissa;Odisha
Rajsthan;Rajasthan
Meghalaya;Meghalaya
